id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
7670389244848178,tx,0064a8c3999ab8d02cd6f61c89bc29cabde1f41e6263dc9d509241d3516d01da,92066,000000000005636a05402caa5e3e22850face70e999c987751cc29f258207b1b,0,1,29000000,2,29000000,146553
4866829901563266,tx,513e9c5549e817c4544cdc24800d59dc860ee802026e523315132cb81bd9528a,92067,000000000006f9b809365a295225ec109b1e76fcb16f040bed626211ce9ce7c8,0,1,1000000,1,1000000,146612
568833996678813,tx,9c1b24d01c19750a140d9a4f58fa82f65f48574514ff23ab13e83477e2cf2a10,92068,00000000000c10491f16d464f138e9ca3fd335ac97e0e7e1bae94cd1eb9b6e66,0,1,1000000,1,1000000,146856
769903878060270,tx,d7350b9f77f8824e8b19a1c4740b5de5541147c281e507446777c74db9c9e115,92068,00000000000c10491f16d464f138e9ca3fd335ac97e0e7e1bae94cd1eb9b6e66,0,1,1000000,1,1000000,146901
5477539583697436,tx,00763edde1a8c1a69f20709c31275dd83ceebb00494e35341fe110098958ae9b,92069,00000000000c890177eb8e97152b433882c0dbae361e6615f369e9f4cf060974,0,1,274000000,2,274000000,147197
4240948033765336,tx,e8f1c49016ca4e50614703ad2539b91d68963a9cd98834daa8c2fe8148f58878,92069,00000000000c890177eb8e97152b433882c0dbae361e6615f369e9f4cf060974,0,1,199000000,2,199000000,147272
631652148762018,tx,aa8da971ea6ba05450fd7b8e087a893f82ad8700294da2812410ad96cfdff311,92077,00000000000ad6e7a0631e255f94e196c215ab37b21b135e4398d80ee837a288,0,1,1000000,1,1000000,147819
2268351271173636,tx,cf291d71403590d5eb5ef32d053478fe2f306f73564b39482622f0f37d6d7840,92079,00000000000cb47aea093bf3e2750e9b8e9e995ea7827e1b8a8f76cc101bf46b,0,1,1000000,1,1000000,148241
6135100078725708,tx,f1af274fd862b2eac72fa76043ea9c6c55861930b9ae2502b560d2d466ba5eae,92080,00000000000df27959b28e1691fb21008e1de431794cf9240b109917cb977379,0,1,1000000,1,1000000,148345
7323767964675812,tx,e7b7075dca3046b96cb45bac056b18ceb645ef46f5c4fb69c520779ddf6c27d0,92080,00000000000df27959b28e1691fb21008e1de431794cf9240b109917cb977379,0,1,2445000000,2,2445000000,148437
1784341745354428,tx,3d7241880b7dbf317181ca643fad0e523eed203c2e8ef3ef2ce6351e7fcbb632,92080,00000000000df27959b28e1691fb21008e1de431794cf9240b109917cb977379,0,1,2433000000,2,2433000000,148449
8226031507535339,tx,528e62fa02b18f40cbc7baae092525adf46f1d03e3e7e7e7c95aaf57af41cce9,92087,00000000000a36260279fd01b4c69e87e2930d5dadbb2c0f0b32f2cd187521bf,0,1,2289000000,2,2289000000,148604
7306745609680616,tx,0ba091e6bc2d9822f666bc2f69ec536243408f9c7964510f8141b73b4492abcf,92092,000000000007a07179ffa4a8e19937e157bdb0be5bbc2200a424c3e4ebbdd7a4,0,1,1760000000,2,1760000000,149145
2642325016585432,tx,14cd55879e5fbc53082c3db281eb89ca80a68659c00dd1bbf0c626f5df71194b,92094,00000000000ab2bab31eebdc15927c12917b1ce7a4cef80b0e81ecd22844bcac,0,1,1627000000,2,1627000000,149282
5950499069312160,tx,46aeede99eec122b089c11c32664a69b0283c5f7a0c5314dba05e5193a941fa9,92094,00000000000ab2bab31eebdc15927c12917b1ce7a4cef80b0e81ecd22844bcac,0,1,1408000000,2,1408000000,149501
4395972696776872,tx,6b435efd55853dad44800dfded5f12618cb0892cd6208abf4142054538e9f07c,92094,00000000000ab2bab31eebdc15927c12917b1ce7a4cef80b0e81ecd22844bcac,0,1,1153000000,2,1153000000,149756
2773382199863532,tx,f2285d55c18c9092a207e51d1f9ee52d39a8bef343610761536647cbe602d34e,92094,00000000000ab2bab31eebdc15927c12917b1ce7a4cef80b0e81ecd22844bcac,0,1,1147000000,2,1147000000,149762
7419914365598494,tx,95f093860b6281d549cc9a3e8ab1d6f210ee37c1e0284c9443f6d83380fbe2d2,92094,00000000000ab2bab31eebdc15927c12917b1ce7a4cef80b0e81ecd22844bcac,0,1,1061000000,2,1061000000,149848
2463102443051482,tx,da31b76a71e65183bba1027e95b478ce5eb1511d76139a46dbd2ce4ed16d0146,92098,00000000000b672d3d85e4b602749fa763e71b694e7e8f492548b97a8239b374,0,1,1002000000,2,1002000000,149917
