src_id,dst_id,src_position,dst_position,address,value
5741359830699923,8922682659099276,0,11,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,2000000
4127620228732625,8922682659099276,0,10,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,2000000
1482198782516076,176538437511777,0,9,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,1000000
3071643027305212,6455924428002273,0,3,1Ptk3Wq18FiYevc2Z2vsz9z8c2bHwrorMA,10000000
3373054245644155,5640260289176867,0,0,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
coinbase93716,4433142166305670,4294967295,0,coinbase93716,5000000000
5948966618415992,2205415018748260,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
6834532989197623,774612563373654,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
7374153286084754,4138277698148127,0,0,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
382694725920610,5346723488125743,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
2004898768773475,1674655131750067,0,0,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
3169719003243780,1725407724628119,0,0,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
5230329069182958,1858870980997707,0,0,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
1858870980997707,1750032966214079,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
2208371732345500,1132630621098595,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
4638333710842182,1896552231661724,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
8523684952193492,8504536201184584,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
4182363600751681,5722321001744750,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
703291066699095,1169390230092076,0,2,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
7786533562005822,2040609437882129,0,0,1AFqGEjYWgmE6jNGCr28LZDiTJtaJdP2wi,500000000
4026479082977414,7968677690152650,0,0,1AFqGEjYWgmE6jNGCr28LZDiTJtaJdP2wi,500000000
1368881763314960,3931535484246104,0,0,16NeVGGWVZaFSYzJT4ko8EAL1e8A6oTNy7,5000000000
1619107903366799,5653453722886643,0,0,15tjvZmi1USjVvHkXYPVLXgnfkoPjqCUaF,500000000
6666396795403125,778540230596645,0,0,1LykkEDe5A4VbTtSDtNd7UaGHKiBoPWQFi,5000000000
2326427655901396,5444146447399624,1,0,19cuo8VykJ77jdG46VZEhCrYRrGZm9p4cG,7000000
6430681907296883,2332455338219285,1,0,1Hh7MS4qUUNEDAfX4EqK3Gn45BLpeZHZtF,1670000000
8907941190865789,6314009997607908,0,0,13gq2w4adp81Cs9WizsTkrr1i1zCQRGYcE,1636000000
6151082829859925,4621653538054345,0,0,1G5LvxPiTjZCrEqmUdFMjmaouHLvUhK8dL,1425000000
8834356524444481,4989440825251597,1,0,19E2DuwAHT47Gjcb1sWL1fVyScii32S9wS,1390000000
7549837834561761,6436222868522765,1,50,13rmfKfucUXoNW827P6SPTq7np461Ls9GE,1000000
coinbase94007,4713105954126592,4294967295,0,coinbase94007,5000000000
4250041141065347,8684750633373154,0,0,18cUD7cpK56X6Zme1G9JAZq6RygWG9B7rm,5000000000
7900643585701670,UTXO37839,0,-1,1wPNzxWjgHdrPtpqwsNJVYzaBEDCqT5qp,5000000
207161536695107,3969388623033036,1,0,1Cd6J4N6ewQyLW4TkDVA2TpBsZQ57fPzwZ,5000000
6292650261256828,1097307094427408,1,0,15boayJUdBgCws1CZ3N6u2ypU2twTRByan,4229000000
490593589835401,2877444952099100,0,2,14iESWwr9hLugqVD6bGVGCUjindHEweiH4,5000000000
coinbase94218,4939517000054707,4294967295,0,coinbase94218,5000000000
6617488686385204,6480948421624024,0,22,138A4fjxH9WL2Bm5oub9iixFyxaFTqsdbp,5000000000
268938648119751,1151376757687539,1,1,1MdwB7pGGXCxgdKtQqSc1oxZP1vE8gNCku,5000000
7634352143199146,8321140956187690,1,17,1MdwB7pGGXCxgdKtQqSc1oxZP1vE8gNCku,5000000
8404761774305049,UTXO36073,0,-1,1NUnbngzRB2SeMqZLrLrypoYW5FrusVU3X,100000000
coinbase86425,113424275692532,4294967295,0,coinbase86425,5000000000
